alpha,K,chi_ms,chi_markup,w_init,chi_w,iota,iota_long_ratio,productivity,sustainability,HHI
0.59375,6,0.990625,1.346875,1.40625,0.4846875,1.296875,0.921875,0.5761,0.5035,0.0532
0.96875,6,0.990625,1.346875,1.40625,0.4846875,1.296875,0.921875,0.5611,0.4366,0.0548
0.59375,3,0.990625,1.346875,1.40625,0.4846875,1.296875,0.921875,0.7124,0.6199,0.0581
0.59375,6,0.27812499999999996,1.346875,1.40625,0.4846875,1.296875,0.921875,0.5659,0.4941,0.0523
0.59375,6,0.990625,0.871875,1.40625,0.4846875,1.296875,0.921875,0.5908,0.5032,0.0581
0.59375,6,0.990625,1.346875,3.28125,0.4846875,1.296875,0.921875,0.5721,0.4986,0.0531
0.59375,6,0.990625,1.346875,1.40625,0.3315625,1.296875,0.921875,0.5758,0.5002,0.053
0.59375,6,0.990625,1.346875,1.40625,0.4846875,1.015625,0.921875,0.5384,0.494,0.0524
0.59375,6,0.990625,1.346875,1.40625,0.4846875,1.296875,0.515625,0.5761,0.5035,0.0532
0.96875,3,0.27812499999999996,0.871875,3.28125,0.3315625,1.015625,0.515625,0.5772,0.596,0.0542
1.09375,11,1.940625,0.396875,3.90625,0.2396875,0.546875,0.671875,0.4791,0.4495,0.0769
1.46875,11,1.940625,0.396875,3.90625,0.2396875,0.546875,0.671875,0.4336,0.4289,0.0962
1.09375,8,1.940625,0.396875,3.90625,0.2396875,0.546875,0.671875,0.4806,0.4535,0.1163
1.09375,11,1.2281250000000001,0.396875,3.90625,0.2396875,0.546875,0.671875,0.4814,0.4412,0.0739
1.09375,11,1.940625,1.821875,3.90625,0.2396875,0.546875,0.671875,0.4614,0.4476,0.0574
1.09375,11,1.940625,0.396875,0.78125,0.2396875,0.546875,0.671875,0.4772,0.4278,0.066
1.09375,11,1.940625,0.396875,3.90625,0.0865625,0.546875,0.671875,0.4455,0.5071,0.0758
1.09375,11,1.940625,0.396875,3.90625,0.2396875,1.765625,0.671875,0.5559,0.4395,0.0856
1.09375,11,1.940625,0.396875,3.90625,0.2396875,0.546875,0.765625,0.4791,0.4495,0.0769
1.46875,8,1.2281250000000001,1.821875,0.78125,0.0865625,1.765625,0.765625,0.4874,0.4296,0.0557
1.34375,4,0.515625,1.821875,2.65625,0.11718749999999999,1.671875,0.546875,0.575,0.4539,0.0549
1.21875,4,0.515625,1.821875,2.65625,0.11718749999999999,1.671875,0.546875,0.5813,0.4683,0.0541
1.34375,10,0.515625,1.821875,2.65625,0.11718749999999999,1.671875,0.546875,0.4542,0.4797,0.0519
1.34375,4,1.703125,1.821875,2.65625,0.11718749999999999,1.671875,0.546875,0.5928,0.4863,0.0704
1.34375,4,0.515625,1.346875,2.65625,0.11718749999999999,1.671875,0.546875,0.6071,0.4474,0.06
1.34375,4,0.515625,1.821875,4.53125,0.11718749999999999,1.671875,0.546875,0.5303,0.4959,0.0558
1.34375,4,0.515625,1.821875,2.65625,0.4540625,1.671875,0.546875,0.6368,0.4175,0.0549
1.34375,4,0.515625,1.821875,2.65625,0.11718749999999999,1.390625,0.546875,0.548,0.4547,0.0554
1.34375,4,0.515625,1.821875,2.65625,0.11718749999999999,1.671875,0.640625,0.575,0.4539,0.0549
1.21875,10,1.703125,1.346875,4.53125,0.4540625,1.390625,0.640625,0.5035,0.4131,0.0539
0.84375,8,1.465625,0.871875,0.15625,0.3621875,0.921875,0.796875,0.4808,0.4546,0.0538
0.71875,8,1.465625,0.871875,0.15625,0.3621875,0.921875,0.796875,0.514,0.4752,0.0544
0.84375,6,1.465625,0.871875,0.15625,0.3621875,0.921875,0.796875,0.5362,0.4449,0.0588
0.84375,8,0.7531249999999999,0.871875,0.15625,0.3621875,0.921875,0.796875,0.4784,0.4544,0.0534
0.84375,8,1.465625,0.396875,0.15625,0.3621875,0.921875,0.796875,0.4878,0.4627,0.071
0.84375,8,1.465625,0.871875,2.03125,0.3621875,0.921875,0.796875,0.5092,0.4841,0.059
0.84375,8,1.465625,0.871875,0.15625,0.2090625,0.921875,0.796875,0.4816,0.4542,0.0533
0.84375,8,1.465625,0.871875,0.15625,0.3621875,0.640625,0.796875,0.4544,0.4524,0.0526
0.84375,8,1.465625,0.871875,0.15625,0.3621875,0.921875,0.890625,0.4808,0.4554,0.0538
0.71875,6,0.7531249999999999,0.396875,2.03125,0.2090625,0.640625,0.890625,0.504,0.497,0.076
0.96875,3,1.703125,0.6343749999999999,0.78125,0.4234375,1.859375,0.609375,0.7292,0.5795,0.0773
1.09375,3,1.703125,0.6343749999999999,0.78125,0.4234375,1.859375,0.609375,0.7486,0.578,0.0805
0.96875,7,1.703125,0.6343749999999999,0.78125,0.4234375,1.859375,0.609375,0.614,0.4373,0.0783
0.96875,3,1.940625,0.6343749999999999,0.78125,0.4234375,1.859375,0.609375,0.7348,0.5765,0.0783
0.96875,3,1.703125,0.159375,0.78125,0.4234375,1.859375,0.609375,0.992,0.6121,0.9563
0.96875,3,1.703125,0.6343749999999999,3.90625,0.4234375,1.859375,0.609375,0.785,0.5961,0.0847
0.96875,3,1.703125,0.6343749999999999,0.78125,0.0253125,1.859375,0.609375,0.5914,0.7566,0.0577
0.96875,3,1.703125,0.6343749999999999,0.78125,0.4234375,0.828125,0.609375,0.5857,0.5737,0.0575
0.96875,3,1.703125,0.6343749999999999,0.78125,0.4234375,1.859375,0.953125,0.7302,0.5801,0.0773
1.09375,7,1.940625,0.159375,3.90625,0.0253125,0.828125,0.953125,0.3404,0.5118,0.1461
1.46875,7,0.7531249999999999,1.584375,3.28125,0.1784375,1.109375,0.859375,0.4314,0.4206,0.0581
0.59375,7,0.7531249999999999,1.584375,3.28125,0.1784375,1.109375,0.859375,0.5206,0.5429,0.0519
1.46875,2,0.7531249999999999,1.584375,3.28125,0.1784375,1.109375,0.859375,0.5222,0.6395,0.0533
1.46875,7,0.990625,1.584375,3.28125,0.1784375,1.109375,0.859375,0.4162,0.4332,0.0577
1.46875,7,0.7531249999999999,1.109375,3.28125,0.1784375,1.109375,0.859375,0.455,0.4186,0.0662
1.46875,7,0.7531249999999999,1.584375,1.40625,0.1784375,1.109375,0.859375,0.4752,0.4087,0.0577
1.46875,7,0.7531249999999999,1.584375,3.28125,0.2703125,1.109375,0.859375,0.4541,0.4026,0.058
1.46875,7,0.7531249999999999,1.584375,3.28125,0.1784375,1.578125,0.859375,0.4674,0.4258,0.0593
1.46875,7,0.7531249999999999,1.584375,3.28125,0.1784375,1.109375,0.703125,0.4314,0.4206,0.0581
0.59375,2,0.990625,1.109375,1.40625,0.2703125,1.578125,0.703125,0.7782,0.6406,0.0629
1.21875,5,1.2281250000000001,0.159375,4.53125,0.0559375,1.484375,0.984375,0.7084,0.5998,0.9618
0.84375,5,1.2281250000000001,0.159375,4.53125,0.0559375,1.484375,0.984375,0.6328,0.7575,0.4755
1.21875,5,1.2281250000000001,0.159375,4.53125,0.0559375,1.484375,0.984375,0.7084,0.5998,0.9618
1.21875,5,0.515625,0.159375,4.53125,0.0559375,1.484375,0.984375,0.6696,0.7483,0.8904
1.21875,5,1.2281250000000001,1.584375,4.53125,0.0559375,1.484375,0.984375,0.4042,0.594,0.0536
1.21875,5,1.2281250000000001,0.159375,2.65625,0.0559375,1.484375,0.984375,0.672,0.6838,0.9597
1.21875,5,1.2281250000000001,0.159375,4.53125,0.1478125,1.484375,0.984375,0.7413,0.4819,0.9607
1.21875,5,1.2281250000000001,0.159375,4.53125,0.0559375,1.953125,0.984375,0.6714,0.6996,0.94
1.21875,5,1.2281250000000001,0.159375,4.53125,0.0559375,1.484375,0.828125,0.7084,0.6106,0.9618
0.84375,5,0.515625,1.584375,2.65625,0.1478125,1.953125,0.828125,0.6335,0.5028,0.0538
0.71875,10,0.27812499999999996,1.109375,2.03125,0.3009375,0.734375,0.734375,0.4921,0.4998,0.0519
1.34375,10,0.27812499999999996,1.109375,2.03125,0.3009375,0.734375,0.734375,0.4462,0.4158,0.0531
0.71875,9,0.27812499999999996,1.109375,2.03125,0.3009375,0.734375,0.734375,0.4873,0.4997,0.0532
0.71875,10,1.465625,1.109375,2.03125,0.3009375,0.734375,0.734375,0.4905,0.51,0.0527
0.71875,10,0.27812499999999996,0.6343749999999999,2.03125,0.3009375,0.734375,0.734375,0.4996,0.5076,0.0552
0.71875,10,0.27812499999999996,1.109375,0.15625,0.3009375,0.734375,0.734375,0.4907,0.4786,0.0512
0.71875,10,0.27812499999999996,1.109375,2.03125,0.3928125,0.734375,0.734375,0.4891,0.5032,0.0515
0.71875,10,0.27812499999999996,1.109375,2.03125,0.3009375,1.203125,0.734375,0.5244,0.4991,0.0521
0.71875,10,0.27812499999999996,1.109375,2.03125,0.3009375,0.734375,0.578125,0.4921,0.4998,0.0519
1.34375,9,1.465625,0.6343749999999999,0.15625,0.3928125,1.203125,0.578125,0.4741,0.3793,0.0673
